danceability,energy,loudness,major,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cis,D,Dis,E,F,Fis,G,Gis,A,Ais,B,3/4,4/4,5/4,ysrelease,mood
0.696,0.875,-3.682,1,0.0649,0.134,0.0,0.159,0.772,127.39,222733,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,happy
0.53,0.562,-13.018,1,0.0409,0.613,1.37e-06,0.257,0.697,121.081,139533,0,0,0,1,0,0,0,0,0,0,0,0,1,0,49,happy
0.482,0.721,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,369600,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57,happy
0.505,0.258,-12.193,0,0.0297,0.805,0.0,0.12,0.641,141.003,254305,0,0,0,0,0,0,0,0,0,0,1,0,1,0,51,happy
0.508,0.774,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,141600,0,1,0,0,0,0,0,0,0,0,0,0,1,0,53,happy
0.669,0.673,-9.754,1,0.0248,0.203,0.0271,0.164,0.867,132.68,381999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,47,happy
0.575,0.318,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,254173,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,happy
0.456,0.47,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336,149467,0,1,0,0,0,0,0,0,0,0,0,0,1,0,57,happy
0.414,0.167,-16.519,1,0.0484,0.804,0.0,0.117,0.384,133.45,207240,0,0,0,0,0,0,0,0,1,0,0,0,1,0,55,happy
0.669,0.388,-11.547,1,0.0306,0.605,0.144,0.0905,0.645,130.016,231173,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,happy
0.252,0.8,-4.845,1,0.0368,0.12,0.0538,0.118,0.29,139.361,335333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,happy
0.532,0.597,-6.109,1,0.0261,0.464,0.000123,0.0643,0.345,80.031,210106,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,happy
0.546,0.878,-5.137,1,0.0525,0.0133,0.0,0.135,0.35,119.945,255400,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,happy
0.518,0.81,-6.445,1,0.029,0.016,0.0013,0.115,0.179,99.968,325547,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,happy
0.774,0.721,-6.662,0,0.0773,0.0126,6.49e-06,0.0952,0.654,118.048,263427,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13,happy
0.271,0.714,-5.124,1,0.0329,0.392,0.0,0.115,0.239,94.158,202347,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24,happy
0.539,0.521,-7.46,1,0.0299,0.00425,0.0,0.367,0.679,106.035,183440,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,happy
